LNVALUE2013,LNLMED,LNZINC2,LNZSMHC,LNTOTALCOST,HOMEAGE,ROOMS,ZADEQ,METRO,REGION1,REGION2,REGION3,LN(VALUE),,Coefficients, VALUE2013 ,Predicted Value Log, PRED2013 ,Error,Absolute Deviation,Mean Absolute Deviation
13.59236701,11.4019939,11.25109306,8.666302614,6.709913911,81,8,1,0,1,0,0,13.59311673,,," $800,000.00 ",13.27004999," $579,574.79 "," $(220,425.21)",220425.21,
12.94800999,11.57213732,10.26813067,6.909753282,6.056003068,91,7,1,0,1,0,0,13.01700286,,," $420,000.00 ",12.79302914," $359,701.26 "," $(60,298.74)",60298.74,
11.69524702,11.14331001,11.75978554,7.045776577,6.196104627,26,7,1,0,0,0,1,11.6784399,,," $120,000.00 ",11.97233318," $158,313.60 "," $38,313.60 ",38313.60,
12.4292162,11.4019939,11.46125315,7.827240902,5.915977419,31,7,1,0,1,0,0,12.1281111,,," $250,000.00 ",12.36790677," $235,133.04 "," $(14,866.96)",14866.96,
12.04355372,11.14908203,11.47202013,7.164720379,5.376820428,2,6,1,0,0,1,0,11.99535161,,," $170,000.00 ",12.05267123," $171,557.07 "," $1,557.07 ",1557.07,
11.15625052,11.02526283,10.21001591,5.976350909,5.789960171,81,7,1,0,1,0,0,11.15625052,,," $70,000.00 ",11.3998371," $89,307.17 "," $19,307.17 ",19307.17,
11.77528973,11.04780589,11.34998292,6.872128101,5.637167726,26,6,1,0,0,0,1,11.51292546,,," $130,000.00 ",11.7400238," $125,495.33 "," $(4,504.67)",4504.67,
11.00209984,10.97115942,11.38488753,6.289715571,5.694012683,71,4,1,0,0,1,0,11.15625052,,," $60,000.00 ",11.26746503," $78,234.42 "," $18,234.42 ",18234.42,
12.15477935,11.29476946,12.00150548,6.444131257,5.892334581,51,7,1,1,1,0,0,12.10071213,,," $190,000.00 ",12.21546472," $201,887.26 "," $11,887.26 ",11887.26,
11.28978191,11.10345234,9.471319062,6.991176887,5.218552398,51,6,1,1,0,0,1,11.3736634,,," $80,000.00 ",11.49708012," $98,427.95 "," $18,427.95 ",18427.95,
11.15625052,10.97115942,10.81905803,6.843749949,5.755742214,92,6,1,0,0,1,0,10.81977828,,," $70,000.00 ",11.10640234," $66,596.17 "," $(3,403.83)",3403.83,
11.91839057,11.03422815,9.661161182,5.049856007,4.759320866,61,7,1,0,0,1,0,11.97665948,,," $150,000.00 ",11.7347941," $124,840.74 "," $(25,159.26)",25159.26,
12.04355372,11.18986489,11.2303238,7.317212408,5.666714997,36,5,1,0,0,0,0,11.91839057,,," $170,000.00 ",12.15635676," $190,299.94 "," $20,299.94 ",20299.94,
10.81977828,11.03434113,10.14502097,6.32256524,5.687257802,91,6,2,0,1,0,0,10.46310334,,," $50,000.00 ",10.90608855," $54,507.23 "," $4,507.23 ",4507.23,
13.57978822,11.43279942,12.89121286,8.656955134,5.33753808,71,6,1,1,0,0,0,13.49392693,,," $790,000.00 ",13.29387735," $593,550.37 "," $(196,449.63)",196449.63,
12.04355372,11.18857941,10.8395417,7.299797367,5.730370309,16,7,1,1,0,1,0,12.1281111,,," $170,000.00 ",12.12131307," $183,746.63 "," $13,746.63 ",13746.63,
12.10071213,10.97560185,10.46207424,6.605297921,5.531411249,26,6,1,0,0,1,0,11.91839057,,," $180,000.00 ",11.82538359," $136,678.07 "," $(43,321.93)",43321.93,
11.60823564,11.01401194,10.23995979,6.216606101,5.950642553,16,5,1,0,0,0,1,11.69524702,,," $110,000.00 ",11.73733353," $125,158.16 "," $15,158.16 ",15158.16,
11.00209984,11.00043178,10.27443023,6.553933404,5.614951261,61,5,1,1,0,0,1,10.81977828,,," $60,000.00 ",11.10908015," $66,774.74 "," $6,774.74 ",6774.74,
12.4292162,10.96080899,11.15436303,6.72982407,4.982464417,26,7,1,0,0,0,0,12.4874851,,," $250,000.00 ",12.43338107," $251,043.39 "," $1,043.39 ",1043.39,
13.38472764,11.4788101,12.6974463,8.074960359,6.206239849,61,6,1,0,1,0,0,13.27078338,,," $650,000.00 ",13.09490771," $486,458.91 "," $(163,541.09)",163541.09,
10.81977828,10.96080899,11.49374265,6.827629235,5.355406334,1,5,1,0,0,0,0,11.77528973,,," $50,000.00 ",12.00280534," $163,212.02 "," $113,212.02 ",113212.02,
11.91839057,11.08980542,11.47210347,7.426549072,5.800858771,71,5,1,1,0,0,0,11.91839057,,," $150,000.00 ",12.05265668," $171,554.57 "," $21,554.57 ",21554.57,
11.77528973,11.03434113,10.51867319,6.684611728,5.937536205,51,5,1,0,1,0,0,11.77528973,,," $130,000.00 ",11.79360653," $132,403.13 "," $2,403.13 ",2403.13,
12.15477935,10.97756805,10.34663373,6.11368218,5.86386789,41,6,1,0,0,0,0,12.01370075,,," $190,000.00 ",12.0642953," $173,562.89 "," $(16,437.11)",16437.11,
12.04355372,11.03624359,10.82576036,5.958424693,5.492375337,26,6,1,1,0,0,1,12.05524976,,," $170,000.00 ",11.95659169," $155,841.02 "," $(14,158.98)",14158.98,
13.59236701,11.18982345,11.42893498,8.096817471,6.127596721,6,9,1,0,0,0,0,13.52782849,,," $800,000.00 ",13.38245743," $648,526.04 "," $(151,473.96)",151473.96,
12.89921983,11.06663836,13.12299718,6.771935556,5.668730837,71,9,1,1,0,0,0,13.30468493,,," $400,000.00 ",13.0868108," $482,536.00 "," $82,536.00 ",82536.00,
12.25486281,11.3713619,10.48066256,7.437795122,6.035481433,31,5,1,1,0,0,0,12.20607265,,," $210,000.00 ",12.36250231," $233,865.70 "," $23,865.70 ",23865.70,
11.51292546,11.05888967,11.69494698,6.889591308,5.799092654,61,4,1,0,0,1,0,11.46163217,,," $100,000.00 ",11.5490518," $103,678.68 "," $3,678.68 ",3678.68,
12.20607265,10.84478304,11.08521475,8.012349639,6.217271216,3,7,1,0,0,0,1,12.4292162,,," $200,000.00 ",12.33024749," $226,442.76 "," $26,442.76 ",26442.76,
11.69524702,11.22257316,11.71190746,7.224024808,6.204389398,61,5,1,0,0,1,0,11.45105006,,," $120,000.00 ",11.68398524," $118,656.17 "," $(1,343.83)",1343.83,
11.8493977,10.93230308,11.40696477,7.33432935,6.287238789,51,6,1,1,0,0,1,11.69524702,,," $140,000.00 ",11.77964398," $130,567.29 "," $(9,432.71)",9432.71,
11.8493977,10.99695329,11.00149966,6.432940093,5.892564598,4,6,1,0,0,0,1,11.98292909,,," $140,000.00 ",12.0062059," $163,767.97 "," $23,767.97 ",23767.97,
11.40756495,11.15297373,11.45211333,6.857514063,5.804130449,61,5,1,0,0,1,0,11.50287513,,," $90,000.00 ",11.63904711," $113,442.02 "," $23,442.02 ",23442.02,
12.10071213,11.57213732,11.06635707,7.218176838,6.06610809,36,4,1,0,0,0,1,11.91839057,,," $180,000.00 ",12.1367778," $186,610.31 "," $6,610.31 ",6610.31,
12.4292162,11.04780589,11.58971983,7.755338813,6.182773375,16,7,1,0,0,0,1,12.4292162,,," $250,000.00 ",12.4151879," $246,517.41 "," $(3,482.59)",3482.59,
13.21767356,11.29916278,10.63892765,7.997663127,6.407979491,61,8,1,1,1,0,0,12.84792653,,," $550,000.00 ",12.70107051," $328,098.95 "," $(221,901.05)",221901.05,
12.30138283,10.85732452,11.35233409,7.615791072,6.16856416,16,8,1,0,0,0,1,12.15477935,,," $220,000.00 ",12.18693498," $196,208.86 "," $(23,791.14)",23791.14,
12.20607265,10.94295121,10.12591084,6.624065228,5.129898715,92,7,1,0,0,1,0,11.00209984,,," $200,000.00 ",11.16934364," $70,922.54 "," $(129,077.46)",129077.46,
11.91839057,11.18857941,10.08630898,6.751101469,5.37102555,71,6,1,1,1,0,0,12.20607265,,," $150,000.00 ",12.05172102," $171,394.13 "," $21,394.13 ",21394.13,
12.4292162,10.89792381,10.6685367,6.107022888,5.830904482,61,5,2,0,0,0,0,11.91839057,,," $250,000.00 ",11.88618409," $145,245.99 "," $(104,754.01)",104754.01,
11.28978191,11.01401194,10.04324949,6.703188113,5.25096367,26,6,1,0,0,0,1,10.91508846,,," $80,000.00 ",11.27230625," $78,614.09 "," $(1,385.91)",1385.91,
12.30138283,11.04292184,10.47305367,6.949856455,5.660642982,41,6,1,0,0,0,0,11.91839057,,," $220,000.00 ",12.06759458," $174,136.47 "," $(45,863.53)",45863.53,
11.28978191,10.73195203,11.09686442,7.509335266,6.821107472,51,5,1,0,0,0,1,11.49272276,,," $80,000.00 ",11.57777806," $106,700.17 "," $26,700.17 ",26700.17,
11.69524702,11.06707577,11.31403541,7.310550159,5.758638858,36,5,1,1,0,1,0,11.77528973,,," $120,000.00 ",11.77781389," $130,328.56 "," $10,328.56 ",10328.56,
11.91839057,10.97560185,10.91715905,7.112327445,4.70652268,92,10,3,0,0,1,0,11.69524702,,," $150,000.00 ",11.69132505," $119,530.28 "," $(30,469.72)",30469.72,
11.77528973,10.92899137,11.71243185,6.748759547,5.532071097,31,8,1,0,0,0,1,11.91839057,,," $130,000.00 ",12.01194625," $164,710.76 "," $34,710.76 ",34710.76,
11.69524702,11.22434966,11.66507987,5.913503006,5.353042266,41,6,1,1,0,0,1,11.55214618,,," $120,000.00 ",11.75225644," $127,039.89 "," $7,039.89 ",7039.89,
11.40756495,11.15297373,11.15625052,7.448333861,6.286618634,51,8,3,0,0,1,0,11.60823564,,," $90,000.00 ",11.79172831," $132,154.68 "," $42,154.68 ",42154.68,
11.77528973,11.03650127,10.13130019,7.488293515,5.459230841,41,6,1,1,0,0,1,12.61153775,,," $130,000.00 ",12.29201675," $217,949.08 "," $87,949.08 ",87949.08,
11.51292546,11.07984761,10.33812304,6.109247583,5.667003223,71,6,1,0,1,0,0,11.77528973,,," $100,000.00 ",11.7784833," $130,415.83 "," $30,415.83 ",30415.83,
12.79385931,10.73055355,10.17458282,6.22059017,5.503296947,8,8,1,0,0,0,1,12.07254125,,," $360,000.00 ",11.94564326," $154,144.12 "," $(205,855.88)",205855.88,
13.99783211,11.18982345,12.70857069,9.06762407,6.852242569,7,10,1,0,0,0,0,13.91082074,,," $1,200,000.00 ",13.78879332," $973,636.51 "," $(226,363.49)",226363.49,
11.69524702,11.03269371,10.59528382,7.055312843,5.816615005,71,8,1,0,0,1,0,11.00209984,,," $120,000.00 ",11.34919889," $84,897.41 "," $(35,102.59)",35102.59,
12.20607265,11.32297488,10.96790514,7.501634458,5.80814249,71,9,1,0,0,1,0,12.15477935,,," $200,000.00 ",12.2442557," $207,784.28 "," $7,784.28 ",7784.28,
12.76568843,11.4788101,11.92569715,7.955074273,6.386879319,92,8,1,0,1,0,0,12.64432758,,," $350,000.00 ",12.71175766," $331,624.19 "," $(18,375.81)",18375.81,
12.89921983,11.16264432,11.98270407,7.802209316,5.680741276,21,9,1,0,0,0,0,12.76568843,,," $400,000.00 ",12.89034587," $396,466.12 "," $(3,533.88)",3533.88,
12.34583459,11.14908203,9.825526011,6.880384082,5.856026576,81,6,1,1,0,1,0,12.30138283,,," $230,000.00 ",12.00888583," $164,207.45 "," $(65,792.55)",65792.55,
11.91839057,11.01401194,10.08580911,6.098074282,5.686127539,36,6,1,0,0,0,1,10.34174248,,," $150,000.00 ",10.90960412," $54,699.19 "," $(95,300.81)",95300.81,
11.00209984,11.09741002,10.14502097,7.305860033,6.195085432,51,6,2,1,0,0,1,11.46163217,,," $60,000.00 ",11.60324119," $109,451.98 "," $49,451.98 ",49451.98,
11.51292546,10.94295121,10.26687988,6.954638865,5.716204995,2,6,1,0,0,1,0,11.91839057,,," $100,000.00 ",11.8573147," $141,112.78 "," $41,112.78 ",41112.78,
11.51292546,11.05888967,10.86597461,6.663132696,5.383730244,16,5,1,0,0,1,0,11.15625052,,," $100,000.00 ",11.39776022," $89,121.89 "," $(10,878.11)",10878.11,
11.15625052,11.03422815,10.59528382,6.779921907,5.934894196,92,7,1,0,0,1,0,11.28978191,,," $70,000.00 ",11.44753829," $93,670.47 "," $23,670.47 ",23670.47,
12.70684793,11.28139686,11.65206112,7.804659297,6.266251332,16,10,1,0,1,0,0,12.8346813,,," $330,000.00 ",12.90142495," $400,883.02 "," $70,883.02 ",70883.02,
11.8493977,11.03422815,11.47690443,7.348587531,5.834810737,1,7,1,0,0,1,0,11.69524702,,," $140,000.00 ",11.88947953," $145,725.43 "," $5,725.43 ",5725.43,
12.3883942,11.18986489,11.46144268,7.666221926,6.492239835,5,6,1,0,0,0,0,12.4292162,,," $240,000.00 ",12.60811724," $298,975.60 "," $58,975.60 ",58975.60,
12.76568843,11.57213732,11.55262683,7.483244416,5.648974238,31,7,1,0,0,0,1,12.76568843,,," $350,000.00 ",12.78806569," $357,920.33 "," $7,920.33 ",7920.33,
12.4292162,10.97560185,11.38736224,7.664346632,6.248687412,21,5,1,0,0,1,0,12.4292162,,," $250,000.00 ",12.22417106," $203,652.64 "," $(46,347.36)",46347.36,
13.01700286,11.32297488,11.65513658,7.80710329,6.017781855,91,7,1,1,0,1,0,12.89921983,,," $450,000.00 ",12.61112691," $299,876.77 "," $(150,123.23)",150123.23,
12.61153775,10.85732452,11.91839057,6.646390515,5.889800893,31,6,1,0,0,0,1,12.52452638,,," $300,000.00 ",12.28987214," $217,482.17 "," $(82,517.83)",82517.83,
11.98292909,11.09274765,11.21133377,7.306531399,5.434085838,36,5,1,1,1,0,0,11.9511804,,," $160,000.00 ",11.95519384," $155,623.33 "," $(4,376.67)",4376.67,
12.4292162,11.11762849,10.46241739,6.947937069,5.407545394,36,6,1,0,0,0,0,12.3883942,,," $250,000.00 ",12.37830981," $237,591.91 "," $(12,408.09)",12408.09,
12.20607265,11.11762849,10.36722157,5.955837369,5.390592643,41,6,1,0,0,0,0,12.30138283,,," $200,000.00 ",12.27277002," $213,794.39 "," $13,794.39 ",13794.39,
12.04355372,11.07325704,11.11516063,7.321849714,5.302475377,7,7,1,0,0,0,0,11.91839057,,," $170,000.00 ",12.20332542," $199,451.31 "," $29,451.31 ",29451.31,
12.20607265,11.07325704,10.3864691,5.837730447,5.593161232,41,5,1,0,0,0,0,11.39639165,,," $200,000.00 ",11.67614644," $117,729.68 "," $(82,270.32)",82270.32,
12.89921983,11.34880525,10.30715104,7.190676034,6.493249426,1,8,1,0,1,0,0,13.21767356,,," $400,000.00 ",13.01729215," $450,130.20 "," $50,130.20 ",50130.20,
11.91839057,11.22257316,11.65253087,7.21964204,5.388310405,61,5,1,0,0,1,0,11.98292909,,," $150,000.00 ",11.96564005," $157,257.53 "," $7,257.53 ",7257.53,
12.15477935,10.96080899,9.031692061,7.591861715,5.518122017,26,5,1,0,0,0,0,12.69158046,,," $190,000.00 ",12.42137691," $248,047.84 "," $58,047.84 ",58047.84,
10.81977828,10.94295121,9.212338375,7.17930797,3.496507561,16,3,2,0,0,1,0,11.91839057,,," $50,000.00 ",11.54523902," $103,284.13 "," $53,284.13 ",53284.13,
13.38472764,11.22390917,12.1388639,8.043984431,6.014122571,41,7,1,1,0,0,0,13.38472764,,," $650,000.00 ",13.18241035," $530,943.21 "," $(119,056.79)",119056.79,
11.69524702,10.80316098,10.30895266,6.598509029,5.728475087,26,5,1,0,0,1,0,11.69524702,,," $120,000.00 ",11.57755001," $106,675.84 "," $(13,324.16)",13324.16,
12.20607265,11.08980542,11.19821472,7.182352112,5.877035256,26,6,1,0,0,0,0,12.20607265,,," $200,000.00 ",12.34034151," $228,740.06 "," $28,740.06 ",28740.06,
10.30895266,10.77714215,10.38739409,6.786716951,5.931803003,51,4,3,0,0,0,1,10.37349118,,," $30,000.00 ",10.71244517," $44,911.32 "," $14,911.32 ",14911.32,
11.15625052,11.22257316,11.08214255,6.473890696,6.03787092,61,7,1,1,0,1,0,12.76568843,,," $70,000.00 ",12.4465522," $254,371.79 "," $184,371.79 ",184371.79,
12.54254488,11.22257316,11.28955689,6.561030666,5.716479305,71,6,1,1,0,1,0,12.20607265,,," $280,000.00 ",12.05859002," $172,575.49 "," $(107,424.51)",107424.51,
11.98292909,11.03269371,11.44872822,6.11368218,5.440973667,31,7,1,0,0,1,0,11.91839057,,," $160,000.00 ",11.911253," $148,933.18 "," $(11,066.82)",11066.82,
12.04355372,11.05877944,11.67813477,7.005789019,5.35501271,16,6,1,0,0,0,1,11.91839057,,," $170,000.00 ",12.01411459," $165,068.30 "," $(4,931.70)",4931.70,
11.91839057,10.94295121,10.93667204,6.177944114,5.428614367,92,6,1,0,0,1,0,10.81977828,,," $150,000.00 ",11.05975395," $63,560.91 "," $(86,439.09)",86439.09,
12.61153775,11.57213732,11.40696477,7.189167738,6.198478716,41,7,1,0,1,0,0,12.50617724,,," $300,000.00 ",12.63765515," $307,938.43 "," $7,938.43 ",7938.43,
11.00209984,10.97115942,11.64137145,6.668228248,5.167164096,51,6,1,0,0,1,0,12.07254125,,," $60,000.00 ",11.93089559," $151,887.53 "," $91,887.53 ",91887.53,
12.87390202,10.97756805,11.65498043,7.395721609,5.755742214,36,10,1,0,0,0,0,12.61153775,,," $390,000.00 ",12.70302683," $328,741.44 "," $(61,258.56)",61258.56,
11.91839057,11.22564331,11.45066701,6.33150185,5.465948208,31,7,1,0,1,0,0,11.98292909,,," $150,000.00 ",12.12389695," $184,222.02 "," $34,222.02 ",34222.02,
12.61153775,11.15827704,12.37655776,6.626717749,6.191680594,16,9,1,0,0,1,0,12.61153775,,," $300,000.00 ",12.58373903," $291,775.23 "," $(8,224.77)",8224.77,
11.8493977,11.01401194,10.61844515,7.308542798,5.901266279,16,6,1,0,0,0,1,11.88138767,,," $140,000.00 ",11.95030723," $154,864.72 "," $14,864.72 ",14864.72,
12.10071213,11.02526283,9.472704636,6.523562306,5.985194934,6,5,1,0,1,0,0,12.10071213,,," $180,000.00 ",11.98914312," $160,997.34 "," $(19,002.66)",19002.66,
12.54254488,11.18335138,9.62377365,6.37502482,5.978885765,26,6,1,0,0,1,0,12.61153775,,," $280,000.00 ",12.29622285," $218,867.73 "," $(61,132.27)",61132.27,
11.28978191,11.19000301,10.12591084,5.814130532,5.715930609,61,5,1,0,0,0,1,11.28978191,,," $80,000.00 ",11.47276642," $96,063.66 "," $16,063.66 ",16063.66,
13.16158409,11.18982345,11.58955312,7.837948916,5.418320159,16,8,1,0,0,0,0,13.08154138,,," $520,000.00 ",13.02966194," $455,732.79 "," $(64,267.21)",64267.21,
11.60823564,11.0716259,9.503009986,7.10824414,5.638354669,41,7,1,1,0,1,0,11.46163217,,," $110,000.00 ",11.54985897," $103,762.40 "," $(6,237.60)",6237.60,
11.51292546,10.92899137,11.78267776,7.431891917,5.66527262,31,6,1,0,0,0,1,12.3883942,,," $100,000.00 ",12.25424586," $209,870.48 "," $109,870.48 ",109870.48,
13.30468493,10.94295121,10.80936425,8.290794347,5.585374244,26,6,1,0,0,1,0,13.38472764,,," $600,000.00 ",12.78126612," $355,494.88 "," $(244,505.12)",244505.12,
11.40756495,10.92899137,10.95049071,6.552507887,5.161924742,16,5,1,0,0,0,1,11.77528973,,," $90,000.00 ",11.76725181," $128,959.26 "," $38,959.26 ",38959.26,
13.52782849,11.04780589,11.36126502,6.535241271,6.2816435,10,6,1,0,0,0,1,13.59236701,,," $750,000.00 ",13.02639471," $454,246.24 "," $(295,753.76)",295753.76,
11.15625052,10.92357959,10.7791646,6.864847778,5.857218614,61,6,1,1,0,0,1,11.22524339,,," $70,000.00 ",11.40789474," $90,029.69 "," $20,029.69 ",20029.69,
13.12236338,11.54829261,11.41841696,7.659642955,5.719218283,92,7,1,1,0,0,0,12.64432758,,," $500,000.00 ",12.73785275," $340,391.85 "," $(159,608.15)",159608.15,
12.76568843,11.57213732,12.44736255,7.895808377,6.276643489,61,10,1,0,1,0,0,13.30468493,,," $350,000.00 ",13.29220828," $592,560.52 "," $242,560.52 ",242560.52,
12.5776362,11.2515607,12.58750459,7.727094485,5.943236725,51,10,1,0,1,0,0,12.46843691,,," $290,000.00 ",12.65166777," $312,283.83 "," $22,283.83 ",22283.83,
13.91082074,11.57213732,12.63324054,7.579167967,6.466533451,92,11,1,1,0,0,1,12.53896706,,," $1,100,000.00 ",12.78194543," $355,736.45 "," $(744,263.55)",744263.55,
11.00209984,10.97560185,9.998797732,6.794586581,5.159534112,61,6,1,0,0,1,0,11.68687877,,," $60,000.00 ",11.60249405," $109,370.23 "," $49,370.23 ",49370.23,
12.10071213,11.12431747,11.73832248,7.059617628,5.788429949,51,7,1,0,1,0,0,12.04355372,,," $180,000.00 ",12.14592895," $188,325.84 "," $8,325.84 ",8325.84,
11.28978191,11.04780589,10.74935582,6.758094504,5.982676041,41,5,1,0,0,0,1,11.40756495,,," $80,000.00 ",11.5938827," $108,432.45 "," $28,432.45 ",28432.45,
12.15477935,11.04780589,9.902587147,5.33753808,5.218101033,41,5,1,0,0,0,1,10.71441777,,," $190,000.00 ",11.0419071," $62,436.61 "," $(127,563.39)",127563.39,
13.30468493,10.89664673,10.51547891,7.591357047,6.089800448,41,12,1,0,0,0,0,12.61153775,,," $600,000.00 ",12.69795419," $327,078.08 "," $(272,921.92)",272921.92,
11.98292909,11.10043574,11.49235534,7.322510434,5.404177757,2,5,1,1,0,0,1,12.07254125,,," $160,000.00 ",12.07873314," $176,086.94 "," $16,086.94 ",16086.94,
11.69524702,11.04432885,10.08726638,6.144185634,5.621004548,21,7,1,0,0,1,0,11.62625415,,," $120,000.00 ",11.6903979," $119,419.51 ", $(580.49),580.49,
12.15477935,11.03269371,12.10154512,7.512617545,5.943892391,51,9,1,0,0,1,0,12.18075484,,," $190,000.00 ",12.23016882," $204,877.77 "," $14,877.77 ",14877.77,
12.89921983,11.57213732,11.36583977,6.841615476,5.840157044,61,4,1,0,1,0,0,12.89921983,,," $400,000.00 ",12.69771776," $327,000.75 "," $(72,999.25)",72999.25,
12.4292162,11.05888967,12.88540484,6.947937069,6.029683156,26,10,1,0,0,1,0,12.61153775,,," $250,000.00 ",12.59830549," $296,056.47 "," $46,056.47 ",46056.47,
11.28978191,11.16194854,11.12898209,6.801283034,5.329492984,91,6,1,1,0,1,0,11.22524339,,," $80,000.00 ",11.39880717," $89,215.24 "," $9,215.24 ",9215.24,
13.76421726,11.22390917,11.45952469,7.105786129,5.91215074,31,8,1,0,0,0,0,13.21767356,,," $950,000.00 ",13.08867504," $483,436.40 "," $(466,563.60)",466563.60,
12.89921983,10.99695329,12.18243548,7.170888479,6.281019864,16,7,1,0,0,0,1,12.79385931,,," $400,000.00 ",12.62469325," $303,972.72 "," $(96,027.28)",96027.28,
12.20607265,11.32297488,11.06975849,7.217443432,5.509050898,61,5,1,0,0,1,0,11.91839057,,," $200,000.00 ",11.94397441," $153,887.09 "," $(46,112.91)",46112.91,
12.4292162,10.84478304,11.82378681,7.033506484,5.967001075,16,5,1,0,0,0,1,11.69524702,,," $250,000.00 ",11.78329461," $131,044.81 "," $(118,955.19)",118955.19,
12.61153775,11.09741002,11.46125315,7.655390645,6.263398263,51,9,1,1,0,0,1,12.10071213,,," $300,000.00 ",12.22556363," $203,936.43 "," $(96,063.57)",96063.57,
11.8493977,10.85732452,11.2115771,7.017506143,5.688104662,10,5,1,0,0,0,1,11.73606902,,," $140,000.00 ",11.77638114," $130,141.96 "," $(9,858.04)",9858.04,
12.34583459,11.05888967,12.07233552,7.578656851,5.695974292,5,7,1,0,0,1,0,12.4292162,,," $230,000.00 ",12.37098791," $235,858.64 "," $5,858.64 ",5858.64,
12.76568843,11.3713619,11.4060527,7.890208213,5.988961417,26,7,1,0,0,0,0,12.82125828,,," $350,000.00 ",12.91549339," $406,562.68 "," $56,562.68 ",56562.68,
11.15625052,10.97560185,11.00293283,7.120444372,5.404177757,91,4,1,0,0,1,0,12.20607265,,," $70,000.00 ",11.87171148," $143,159.04 "," $73,159.04 ",73159.04,
11.98292909,11.06707577,10.30775194,6.398594935,5.786897381,41,8,1,1,0,1,0,11.91839057,,," $160,000.00 ",11.88191719," $144,627.56 "," $(15,372.44)",15372.44,
11.91839057,10.89792381,11.56137271,7.308542798,5.780743516,36,6,1,0,0,0,0,11.9511804,,," $150,000.00 ",12.11001692," $181,682.68 "," $31,682.68 ",31682.68,
11.69524702,11.03434113,11.28955689,7.309881486,5.64131588,36,7,1,0,1,0,0,11.40756495,,," $120,000.00 ",11.72612817," $123,763.55 "," $3,763.55 ",3763.55,
11.77528973,11.03434113,10.51867319,6.490723535,5.072043922,92,8,1,0,1,0,0,11.73606902,,," $130,000.00 ",11.7819223," $130,865.10 ", $865.10 ,865.10,
11.91839057,11.09741002,11.28955689,7.036148494,5.472270674,16,7,1,0,0,0,1,11.98292909,,," $150,000.00 ",12.09334975," $178,679.64 "," $28,679.64 ",28679.64,
